iter= 1030, img_loss=0.314140, reg_loss=0.055183, lr=0.00000, time=1301.4 ms, rem=1.44 h
iter= 1040, img_loss=0.293886, reg_loss=0.052757, lr=0.00000, time=1259.8 ms, rem=1.39 h
iter= 1050, img_loss=0.290476, reg_loss=0.051827, lr=0.00000, time=1244.2 ms, rem=1.37 h
iter= 1060, img_loss=0.295592, reg_loss=0.053184, lr=0.00000, time=1266.6 ms, rem=1.39 h
iter= 1070, img_loss=0.308967, reg_loss=0.055258, lr=0.00000, time=1305.5 ms, rem=1.43 h
iter= 1080, img_loss=0.314829, reg_loss=0.055885, lr=0.00000, time=1312.0 ms, rem=1.43 h
iter= 1090, img_loss=0.307647, reg_loss=0.054677, lr=0.00000, time=1294.5 ms, rem=1.41 h
iter= 1100, img_loss=0.309652, reg_loss=0.054681, lr=0.00000, time=1292.2 ms, rem=1.40 h
iter= 1110, img_loss=0.309925, reg_loss=0.054812, lr=0.00000, time=1295.7 ms, rem=1.40 h
iter= 1120, img_loss=0.302500, reg_loss=0.054956, lr=0.00000, time=1297.8 ms, rem=1.40 h
iter= 1130, img_loss=0.312628, reg_loss=0.054699, lr=0.00000, time=1289.9 ms, rem=1.39 h
iter= 1140, img_loss=0.311004, reg_loss=0.054262, lr=0.00000, time=1285.4 ms, rem=1.38 h
iter= 1150, img_loss=0.300521, reg_loss=0.054577, lr=0.00000, time=1291.5 ms, rem=1.38 h
iter= 1160, img_loss=0.329279, reg_loss=0.058038, lr=0.00000, time=1351.9 ms, rem=1.44 h
iter= 1170, img_loss=0.316056, reg_loss=0.055859, lr=0.00000, time=1311.6 ms, rem=1.40 h
iter= 1180, img_loss=0.301799, reg_loss=0.053944, lr=0.00000, time=1282.2 ms, rem=1.36 h
iter= 1190, img_loss=0.312033, reg_loss=0.055784, lr=0.00000, time=1313.1 ms, rem=1.39 h
iter= 1200, img_loss=0.307361, reg_loss=0.054587, lr=0.00000, time=1289.6 ms, rem=1.36 h
iter= 1210, img_loss=0.319751, reg_loss=0.055337, lr=0.00000, time=1303.3 ms, rem=1.37 h
iter= 1220, img_loss=0.294998, reg_loss=0.052355, lr=0.00000, time=1252.8 ms, rem=1.32 h
iter= 1230, img_loss=0.313282, reg_loss=0.055762, lr=0.00000, time=1311.0 ms, rem=1.37 h
iter= 1240, img_loss=0.281171, reg_loss=0.051079, lr=0.00000, time=1231.4 ms, rem=1.29 h
iter= 1250, img_loss=0.304236, reg_loss=0.053914, lr=0.00000, time=1279.3 ms, rem=1.33 h
iter= 1260, img_loss=0.303854, reg_loss=0.053137, lr=0.00000, time=1266.1 ms, rem=1.32 h
