iter=  860, img_loss=0.139365, reg_loss=0.046061, lr=0.00000, time=1169.0 ms, rem=1.34 h
iter=  870, img_loss=0.146498, reg_loss=0.045869, lr=0.00000, time=1168.7 ms, rem=1.34 h
iter=  880, img_loss=0.139670, reg_loss=0.045646, lr=0.00000, time=1161.3 ms, rem=1.33 h
iter=  890, img_loss=0.139179, reg_loss=0.045580, lr=0.00000, time=1161.3 ms, rem=1.33 h
iter=  900, img_loss=0.144088, reg_loss=0.047082, lr=0.00000, time=1189.7 ms, rem=1.35 h
iter=  910, img_loss=0.146159, reg_loss=0.046447, lr=0.00000, time=1175.7 ms, rem=1.34 h
iter=  920, img_loss=0.137772, reg_loss=0.045781, lr=0.00000, time=1165.9 ms, rem=1.32 h
iter=  930, img_loss=0.144576, reg_loss=0.046517, lr=0.00000, time=1177.5 ms, rem=1.33 h
iter=  940, img_loss=0.144218, reg_loss=0.046010, lr=0.00000, time=1171.5 ms, rem=1.32 h
iter=  950, img_loss=0.136408, reg_loss=0.045766, lr=0.00000, time=1162.8 ms, rem=1.31 h
iter=  960, img_loss=0.139031, reg_loss=0.047287, lr=0.00000, time=1191.1 ms, rem=1.34 h
iter=  970, img_loss=0.147300, reg_loss=0.046096, lr=0.00000, time=1171.2 ms, rem=1.31 h
iter=  980, img_loss=0.144117, reg_loss=0.046563, lr=0.00000, time=1179.3 ms, rem=1.32 h
iter=  990, img_loss=0.141377, reg_loss=0.046295, lr=0.00000, time=1171.0 ms, rem=1.30 h
iter= 1000, img_loss=0.135876, reg_loss=0.045326, lr=0.00000, time=1155.6 ms, rem=1.28 h
iter= 1010, img_loss=0.140474, reg_loss=0.046692, lr=0.00000, time=1177.6 ms, rem=1.31 h
iter= 1020, img_loss=0.145628, reg_loss=0.047053, lr=0.00000, time=1184.5 ms, rem=1.31 h
iter= 1030, img_loss=0.141793, reg_loss=0.045900, lr=0.00000, time=1166.1 ms, rem=1.29 h
iter= 1040, img_loss=0.141408, reg_loss=0.045550, lr=0.00000, time=1159.4 ms, rem=1.28 h
iter= 1050, img_loss=0.151424, reg_loss=0.047078, lr=0.00000, time=1187.5 ms, rem=1.30 h
iter= 1060, img_loss=0.145835, reg_loss=0.046360, lr=0.00000, time=1174.2 ms, rem=1.29 h
iter= 1070, img_loss=0.141919, reg_loss=0.046145, lr=0.00000, time=1171.1 ms, rem=1.28 h
iter= 1080, img_loss=0.148317, reg_loss=0.046724, lr=0.00000, time=1180.6 ms, rem=1.29 h
