iter= 1260, img_loss=0.272647, reg_loss=0.064655, lr=0.00000, time=1531.6 ms, rem=1.59 h
iter= 1270, img_loss=0.273818, reg_loss=0.063699, lr=0.00000, time=1526.8 ms, rem=1.58 h
iter= 1280, img_loss=0.274548, reg_loss=0.063963, lr=0.00000, time=1521.3 ms, rem=1.57 h
iter= 1290, img_loss=0.291153, reg_loss=0.064749, lr=0.00000, time=1547.7 ms, rem=1.59 h
iter= 1300, img_loss=0.301012, reg_loss=0.066057, lr=0.00000, time=1564.7 ms, rem=1.61 h
iter= 1310, img_loss=0.281994, reg_loss=0.064889, lr=0.00000, time=1539.6 ms, rem=1.58 h
iter= 1320, img_loss=0.314357, reg_loss=0.066844, lr=0.00000, time=1565.0 ms, rem=1.60 h
iter= 1330, img_loss=0.281696, reg_loss=0.063815, lr=0.00000, time=1525.3 ms, rem=1.56 h
iter= 1340, img_loss=0.277723, reg_loss=0.064593, lr=0.00000, time=1529.8 ms, rem=1.56 h
iter= 1350, img_loss=0.293263, reg_loss=0.065549, lr=0.00000, time=1554.3 ms, rem=1.58 h
iter= 1360, img_loss=0.278685, reg_loss=0.064456, lr=0.00000, time=1530.9 ms, rem=1.55 h
iter= 1370, img_loss=0.288709, reg_loss=0.065006, lr=0.00000, time=1547.2 ms, rem=1.56 h
iter= 1380, img_loss=0.289525, reg_loss=0.065142, lr=0.00000, time=1548.0 ms, rem=1.56 h
iter= 1390, img_loss=0.284021, reg_loss=0.065221, lr=0.00000, time=1548.5 ms, rem=1.55 h
iter= 1400, img_loss=0.273318, reg_loss=0.064054, lr=0.00000, time=1522.0 ms, rem=1.52 h
iter= 1410, img_loss=0.275289, reg_loss=0.063870, lr=0.00000, time=1529.0 ms, rem=1.52 h
iter= 1420, img_loss=0.296184, reg_loss=0.066221, lr=0.00000, time=1569.6 ms, rem=1.56 h
iter= 1430, img_loss=0.301834, reg_loss=0.066081, lr=0.00000, time=1560.7 ms, rem=1.55 h
iter= 1440, img_loss=0.276824, reg_loss=0.064784, lr=0.00000, time=1537.6 ms, rem=1.52 h
iter= 1450, img_loss=0.291048, reg_loss=0.065084, lr=0.00000, time=1551.9 ms, rem=1.53 h
iter= 1460, img_loss=0.294875, reg_loss=0.065763, lr=0.00000, time=1550.9 ms, rem=1.53 h
iter= 1470, img_loss=0.272273, reg_loss=0.064587, lr=0.00000, time=1525.2 ms, rem=1.50 h
